,,,,,,,,,
,,CRF Audit Report (Sep - 2025),,,,,,,
,,,,,,,,,
,,,,,,,,,
,Governance,,,,,,,,Compliant
,1.1,Cybersecurity Strategy,,,,,Drop down list for each control:,,Partially Compliant
,Controls,,,Audit Result,,,Implemented,,Non-Compliant
Governance_1.1,1.1.1,CL 1,"Define and document requirements for the [Cybersecurity Strategy] which consider the following:

·   Overall mission, objectives and activities of the organization in relation to Cybersecurity
·   Relevant legislative and regulatory compliance requirements
·    Establishment of the Cybersecurity program
·   Top management commitment towards Cybersecurity",Implemented,,,Not Implemented,,
Governance_1.1,1.1.2,CL 1,Ensure that the [Cybersecurity Strategy] is approved by the top management.,Implemented,,,N/A,,
Governance_1.1,1.1.3,CL 1,"Ensure that the  [Action Plan] for the implementation of the cybersecurity strategy considers the following:

·   Activities
·   Budget
·   Timeline
·   Resources (e.g. capabilities, personnel)",Not Implemented,"The Cybersecurity Strategy Implementation Action Plan is not approved by top management with the company stamp and their signature, name, and date of approval ",,,,
Governance_1.1,1.1.4,CL 3,"Continuously measure, review and as per requirements update the [Cybersecurity Strategy] and the corresponding [Action Plan] especially in case of changes in relevant legislative and regulatory requirements, major organizational changes or lessons learned from the implementation of the previous action plans.",Not Implemented,"1- Evidence of scheduled reviews (quarterly/annual) evaluating effectiveness is missing.
2- KPIs or metrics tracked to measure efficiency is missing
3- Version History / Updated Documents: Policies, procedures, or requirements updated to reflect continuous improvement is missing.",,,,
Governance_1.2,1.2,Cybersecurity Management,,,,,,,
Governance_1.2,Controls,,,Audit Result,,,,,
Governance_1.2,1.2.1,CL 1,Define and document requirements for the [Cybersecurity Organization] which consider the following:,Not Implemented,"1- Cybersecurity organizational structure is missing, the following:
  1.1- Identification of required functions or departments to implement the Action Plan.
  1.2- Direct reporting line to top management.
  1.3- Assignment of roles and responsibilities with clear segregation of conflicting duties.",,,,
Governance_1.2,,,·      A cybersecurity committee and allocating members who represent different areas within the organization,,,,,,
Governance_1.2,,,·      The needed cybersecurity functions/departments required to implement the [Action Plan],,,,,,
Governance_1.2,,,,,,,,,
Governance_1.2,,,·      Direct reporting to top management to avoid conflict of interest,,,,,,
Governance_1.2,,,·      Allocating roles and responsibilities ensuring that the conflicting duties and areas of responsibilities are clearly segregated,,,,,,
Governance_1.2,1.2.2,CL 1,Implement the defined [Cybersecurity Organization].,Not Implemented,1- Implementation evidence is missing.,,,,
Governance_1.2,1.2.3,CL 1,Implement the [Action Plan] through the defined [Cybersecurity Organization].,Not Implemented,1- Implementation evidence is missing.,,,,
Governance_1.2,1.2.4,CL 1,"Oversee the implementation of the [Action Plan] by the cybersecurity committee by monitoring, dealing with conflicts, and enforcing necessary measures for improvement. ",Not Implemented,"1- Committee meeting minutes are missing including:
 1.1- Follow-up actions, if taken
 1.2- Escalation records, if any",,,,
Governance_1.2,1.2.5,CL 3,"Continuously measure, review and optimize requirements for the [Cybersecurity Organization] to ensure an efficient Cybersecurity Organization. ",Not Implemented,"1- Evidence of scheduled reviews (quarterly/annual) is missing.
2- KPIs or metrics tracked to measure efficiency is missing
3- Version History / Updated Documents: Policies, procedures, or requirements updated to reflect continuous improvement is missing.",,,,
Governance_1.3,1.3,Cybersecurity Compliance,,,,,,,
Governance_1.3,Controls,,,Audit Result,,,,,
Governance_1.3,1.3.1,CL 1,Define and document [Requirements for Cybersecurity Compliance] which consider the following: ,Not Implemented,1- The Document is Missing the approval (Name-Signature-Date),,,,
Governance_1.3,,,·      Relevant national legislative and regulatory requirements related to cybersecurity,,,,,,
Governance_1.3,,,·      Locally accredited international/cross-border requirements (e.g. included in internationally agreements or commitments),,,,,,
Governance_1.3,,,·      Organization's internal requirements,,,,,,
Governance_1.3,1.3.2,CL 1,"Define and implement the {Compliance Process} to ensure compliance requirements are identified periodically, documented and communicated (e.g. when new regulatory requirements become effective, necessity to update the organization's cybersecurity requirements).",Not Implemented,1- Evidence of Implementation is missing,,,,
Governance_1.3,1.3.3,CL 1,Ensure the compliance requirements are incorporated within the organization.,Not Implemented,1- Evidence showing that compliance requirements are embedded in internal documentation is missing,,,,
Governance_1.3,1.3.4,CL 3,"Continuously measure, review and optimize the [Requirements for Cybersecurity Compliance] as well as the effectiveness of the process to ensure compliance.",Not Implemented,"1- Evidence of scheduled reviews (quarterly/annual) is missing.
2- KPIs or metrics tracked to measure efficiency is missing
3- Version History / Updated Documents: Policies, procedures, or requirements updated to reflect continuous improvement is missing.",,,,
Governance_1.3,1.4,Cybersecurity Audit,,,,,,,
Governance_1.3,Controls,,,Audit Result,,,,,
Governance_1.3,1.4.1,CL 2,Define and document [Requirements for Cybersecurity Audit] which consider the following: ,Not Implemented,1- The Document is Missing the approval (Name-Signature-Date),,,,
Governance_1.3,,,·      Conducting independent and periodical audits (e.g. conduct audits at least once a year for critical systems),,,,,,
Governance_1.3,,,·      Protection and retention of [Audit Records],,,,,,
Governance_1.3,,,·      Reporting to top management,,,,,,
Governance_1.3,1.4.2,CL 2,Define and implement {Internal Audit} process to verify the compliance with the identified      [Requirements for Cybersecurity Compliance].,Not Implemented,1- Implementation evidence is missing.,,,,
Governance_1.3,1.4.3,CL 2,Conduct independent audits at planned intervals (or when significant changes occur) to review the implementation of the [Requirements for Cybersecurity Compliance] in the organization.,Not Implemented,"1- Approved audit plan is missing.
2- Evidence of auditor independence is not available.
3- Audit reports were not provided.",,,,
Governance_1.3,1.4.4,CL 2,Document the findings and recommendations and present them to the top management.,Not Implemented,"1- Audit reports are missing.
2- Evidence that audit results were presented to the board, executives, or steering committees is not available.
3- Corrective action plans were not provided.",,,,
Governance_1.3,1.4.5,CL 2,"Protect the [Audit Records] from unauthorized access, modification, and destruction. ",Not Implemented,"1- Evidence showing that audit records are stored in a secure system with restricted access is missing.
2- System permission evidence (e.g., screenshots showing role-based access) was not provided.
3- Evidence that audit records cannot be tampered with is not available.",,,,
Governance_1.3,1.4.6,CL 2,Ensure that the audit records are retained as proof for e.g. compliance to legislative and regulatory requirements.,Not Implemented,1- Evidence that the audit reports are retained securely,,,,
Governance_1.3,1.4.7,CL 3,"Continuously measure, review and optimize the [Requirements for Cybersecurity Audit] as well as the effectiveness of the process and review activities.",Not Implemented,"1- Evidence of scheduled reviews (quarterly/annual) is missing.
2- KPIs or metrics tracked to measure efficiency is missing
3- Version History / Updated Documents: Policies, procedures, or requirements updated to reflect continuous improvement is missing.",,,,
Governance_1.5,1.5,Cybersecurity Awareness & Training,,,,,,,
Governance_1.5,Controls,,,Audit Result,,,,,
Governance_1.5,1.5.1,CL 1,Define and document [Requirements for Cybersecurity Awareness & Training] which consider the following:,Not Implemented,1- The Document is Missing the approval (Name-Signature-Date),,,,
Governance_1.5,,,·      Goals and scope,,,,,,
Governance_1.5,,,·      Number and frequency of trainings/year,,,,,,
Governance_1.5,,,·      Allocated resources,,,,,,
